,YouTubeID,Title,Description,Duration,Duration_HHMMSS,Duration_Seconds
549,-5xBQC_FApQ,A Última Ceia (A ceia do Senhor) - Língua de Sinais de Moçambique - KGH - Tema,"A Última Ceia (A ceia do Senhor) - Lucas 22.1-13; Mateus 26.20-35
Língua de Sinais de Moçambique - Conheça a Deus como história 25",PT14S,0:0:14,14.0
550,SzCKDoyHkLA,Jesus Conta a Historia do Homem Rico e Lázaro - Língua de Sinais de Moçambique - KGH - Diálogo,"Jesus Conta a Historia do Homem Rico e Lázaro - Lucas 16.19-31
Língua de Sinais de Moçambique - Conheça a Deus como história 24",PT10M20S,0:10:20,620.0
551,sIxUUzUGGrM,Jesus Conta a Historia do Homem Rico e Lázaro - Língua de Sinais de Moçambique - KGH - História,"Jesus Conta a Historia do Homem Rico e Lázaro - Lucas 16.19-31
Língua de Sinais de Moçambique - Conheça a Deus como história 24",PT5M12S,0:5:12,312.0
552,k9FcKd62AVg,Jesus Conta a Historia do Homem Rico e Lázaro - Língua de Sinais de Moçambique - KGH - Intro,"Jesus Conta a Historia do Homem Rico e Lázaro - Lucas 16.19-31
Língua de Sinais de Moçambique - Conheça a Deus como história 24",PT2M6S,0:2:6,126.0
553,UJiVpVdDdUk,Jesus Conta a Historia do Homem Rico e Lázaro - Língua de Sinais de Moçambique - KGH - Tema,"Jesus Conta a Historia do Homem Rico e Lázaro - Lucas 16.19-31
Língua de Sinais de Moçambique - Conheça a Deus como história 24",PT30S,0:0:30,30.0
554,WC7e9N57ZuU,Jesus e o Homem Surdo - Língua de Sinais de Moçambique - KGH - Diálogo,"Jesus e o Homem Surdo - Marcos 7.31-37
Língua de Sinais de Moçambique - Conheça a Deus como história 23",PT2M58S,0:2:58,178.0
555,F3EBAO04XsI,Jesus e o Homem Surdo - Língua de Sinais de Moçambique - KGH - História,"Jesus e o Homem Surdo - Marcos 7.31-37
Língua de Sinais de Moçambique - Conheça a Deus como história 23",PT2M28S,0:2:28,148.0
556,nUqquXw64ck,Jesus e o Homem Surdo - Língua de Sinais de Moçambique - KGH - Intro,"Jesus e o Homem Surdo - Marcos 7.31-37
Língua de Sinais de Moçambique - Conheça a Deus como história 23",PT2M44S,0:2:44,164.0
557,fFWEYzFSs4s,Jesus e o Homem Surdo - Língua de Sinais de Moçambique - KGH - Mais Inform,"Jesus e o Homem Surdo - Marcos 7.31-37
Língua de Sinais de Moçambique - Conheça a Deus como história 23",PT52S,0:0:52,52.0
558,O13geyMDDMU,Jesus e o Homem Surdo - Língua de Sinais de Moçambique - KGH - Tema,"Jesus e o Homem Surdo - Marcos 7.31-37
Língua de Sinais de Moçambique - Conheça a Deus como história 23",PT20S,0:0:20,20.0
559,FNxuhopr3ak,A Mulher do Fluxo de Sangue e a Filha de Jairo - Língua de Sinais de Moçambique - KGH - Diálogo,"A Mulher do Fluxo de Sangue e a Filha de Jairo - Marcos 5.21-43
Língua de Sinais de Moçambique - Conheça a Deus como história 22",PT8M50S,0:8:50,530.0
560,9I9CUa3uF98,A Mulher do Fluxo de Sangue e a Filha de Jairo - Língua de Sinais de Moçambique - KGH - História,"A Mulher do Fluxo de Sangue e a Filha de Jairo - Marcos 5.21-43
Língua de Sinais de Moçambique - Conheça a Deus como história 22",PT7M32S,0:7:32,452.0
561,7hRtqT6foEE,A Mulher do Fluxo de Sangue e a Filha de Jairo - Língua de Sinais de Moçambique - KGH - Mais Inform,"A Mulher do Fluxo de Sangue e a Filha de Jairo - Marcos 5.21-43
Língua de Sinais de Moçambique - Conheça a Deus como história 22",PT5M17S,0:5:17,317.0
