,YouTubeID,Title,Description,Duration,Duration_HHMMSS,Duration_Seconds
151,ciHCumq4f-Q,Jesus Appears to the Disciples - South Sudan Sign Language - FGH - More Info,"Jesus Appears to the Disciples: John 20:19-29
South Sudan Sign Language - Follow God How Story 74",PT1M23S,0:1:23,83.0
152,ko9nn-eamkQ,Jesus Appears to the Disciples - South Sudan Sign Language - FGH - Topic,"Jesus Appears to the Disciples: John 20:19-29
South Sudan Sign Language - Follow God How Story 74",PT14S,0:0:14,14.0
153,NPPfOAjj5uY,Jesus Meets Two Followers on the Road to Emmaus - South Sudan Sign Language - FGH - Story,"Jesus Meets Two Followers on the Road to Emmaus: Luke 24:13-35
South Sudan Sign Language - Follow God How Story 73",PT7M28S,0:7:28,448.0
154,wEkUibhLsmU,Jesus Meets Two Followers on the Road to Emmaus - South Sudan Sign Language - FGH - Dialogue,"Jesus Meets Two Followers on the Road to Emmaus: Luke 24:13-35
South Sudan Sign Language - Follow God How Story 73",PT5M58S,0:5:58,358.0
155,qhBsWnZUTBU,Jesus Meets Two Followers on the Road to Emmaus - South Sudan Sign Language - FGH - More Info,"Jesus Meets Two Followers on the Road to Emmaus: Luke 24:13-35
South Sudan Sign Language - Follow God How Story 73",PT1M35S,0:1:35,95.0
156,3Wrnt9sfldo,Jesus Meets Two Followers on the Road to Emmaus - South Sudan Sign Language - FGH - Intro,"Jesus Meets Two Followers on the Road to Emmaus: Luke 24:13-35
South Sudan Sign Language - Follow God How Story 73",PT2M45S,0:2:45,165.0
157,qHVniow_58E,Jesus Meets Two Followers on the Road to Emmaus - South Sudan Sign Language - FGH - Topic,"Jesus Meets Two Followers on the Road to Emmaus: Luke 24:13-35
South Sudan Sign Language - Follow God How Story 73",PT17S,0:0:17,17.0
158,CJbDcHC-lAA,Jesus' Resurrection - South Sudan Sign Language - FGH - Dialogue,"Jesus' Resurrection: Matthew 28:1-4, John 20:1-18
South Sudan Sign Language - Follow God How Story 72",PT4M52S,0:4:52,292.0
159,jkLjik2Qax4,Jesus' Resurrection - South Sudan Sign Language - FGH - Intro,"Jesus' Resurrection: Matthew 28:1-4, John 20:1-18
South Sudan Sign Language - Follow God How Story 72",PT8M12S,0:8:12,492.0
160,IhoXnqkMIek,Jesus' Resurrection - South Sudan Sign Language - FGH - Story,"Jesus' Resurrection: Matthew 28:1-4, John 20:1-18
South Sudan Sign Language - Follow God How Story 72",PT5M27S,0:5:27,327.0
161,xszDQVnRPhU,Jesus' Resurrection - South Sudan Sign Language - FGH - More Info,"Jesus' Resurrection: Matthew 28:1-4, John 20:1-18
South Sudan Sign Language - Follow God How Story 72",PT3M25S,0:3:25,205.0
162,RXdpmELy45o,Jesus' Resurrection - South Sudan Sign Language - FGH - Topic,"Jesus' Resurrection: Matthew 28:1-4, John 20:1-18
South Sudan Sign Language - Follow God How Story 72",PT24S,0:0:24,24.0
163,vknXBYWFEaU,Jesus is Crucified - South Sudan Sign Language - FGH - Dialogue,"Jesus is Crucified: Matthew 27:32-43, Luke 23:34,39-43, Matthew 27:45-56, John 19:31-42, Matthew 27:60-66
South Sudan Sign Language - Follow God How Story 71",PT15M31S,0:15:31,931.0
164,G11Uwni7rgE,Jesus is Crucified - South Sudan Sign Language - FGH - Story,"Jesus is Crucified: Matthew 27:32-43, Luke 23:34,39-43, Matthew 27:45-56, John 19:31-42, Matthew 27:60-66
South Sudan Sign Language - Follow God How Story 71",PT17M8S,0:17:8,1028.0
165,phQiYxHrCBs,Jesus is Crucified - South Sudan Sign Language - FGH - More Info,"Jesus is Crucified: Matthew 27:32-43, Luke 23:34,39-43, Matthew 27:45-56, John 19:31-42, Matthew 27:60-66
South Sudan Sign Language - Follow God How Story 71",PT7M42S,0:7:42,462.0
166,r1k_xjg0Spc,Jesus is Crucified - South Sudan Sign Language - FGH - Intro,"Jesus is Crucified: Matthew 27:32-43, Luke 23:34,39-43, Matthew 27:45-56, John 19:31-42, Matthew 27:60-66
South Sudan Sign Language - Follow God How Story 71",PT3M13S,0:3:13,193.0
167,lnRL9m298gA,Jesus is Crucified - South Sudan Sign Language - FGH - Topic,"Jesus is Crucified: Matthew 27:32-43, Luke 23:34,39-43, Matthew 27:45-56, John 19:31-42, Matthew 27:60-66
South Sudan Sign Language - Follow God How Story 71",PT13S,0:0:13,13.0
168,6rUlUOUtypc,Pilate and Herod Question Jesus - South Sudan Sign Language - FGH - Dialogue,"Pilate and Herod Question Jesus: Luke 23:1-16, Matthew 27:15-31
South Sudan Sign Language - Follow God How Story 70",PT19M47S,0:19:47,1187.0
169,Hwb96DJLN_s,Pilate and Herod Question Jesus - South Sudan Sign Language - FGH - Story,"Pilate and Herod Question Jesus: Luke 23:1-16, Matthew 27:15-31
South Sudan Sign Language - Follow God How Story 70",PT13M1S,0:13:1,781.0
170,r2m5waY_s_A,Pilate and Herod Question Jesus - South Sudan Sign Language - FGH - Intro,"Pilate and Herod Question Jesus: Luke 23:1-16, Matthew 27:15-31
South Sudan Sign Language - Follow God How Story 70",PT7M11S,0:7:11,431.0
171,L5wgF87KVrg,Pilate and Herod Question Jesus - South Sudan Sign Language - FGH - More Info,"Pilate and Herod Question Jesus: Luke 23:1-16, Matthew 27:15-31
South Sudan Sign Language - Follow God How Story 70",PT3M29S,0:3:29,209.0
172,6zdaScfUSUc,Pilate and Herod Question Jesus - South Sudan Sign Language - FGH - Topic,"Pilate and Herod Question Jesus: Luke 23:1-16, Matthew 27:15-31
South Sudan Sign Language - Follow God How Story 70",PT19S,0:0:19,19.0
