,YouTubeID,Title,Description,Duration,Duration_HHMMSS,Duration_Seconds
112,ZskO2_mwai0,Introduction - Herod Persecutes the Apostles - Nigerian Sign Language,"Herod Persecutes the Apostles - Acts 12:1-19
Nigerian Sign Language - CBT 088, SGH 013",PT3M45S,0:3:45,225.0
113,URicWXAppM0,Topic - Herod Persecutes the Apostles - Nigerian Sign Language,"Herod Persecutes the Apostles - Acts 12:1-19
Nigerian Sign Language - CBT 088, SGH 013",PT20S,0:0:20,20.0
114,_2OcOROiqNU,Dialogue - The Believers Plant Church in Antioch - Nigerian Sign Language,"The Believers Plant Church in Antioch - Acts 11:19-30
Nigerian Sign Language - CBT 087, SGH 012",PT11M17S,0:11:17,677.0
115,inAS5ToFl7k,More Information - The Believers Plant Church in Antioch - Nigerian Sign Language,"The Believers Plant Church in Antioch - Acts 11:19-30
Nigerian Sign Language - CBT 087, SGH 012",PT3M47S,0:3:47,227.0
116,R4LHBo65vZ4,Story - The Believers Plant Church in Antioch - Nigerian Sign Language,"The Believers Plant Church in Antioch - Acts 11:19-30
Nigerian Sign Language - CBT 087, SGH 012",PT7M19S,0:7:19,439.0
117,EfgoyBwUvqk,Introduction - The Believers Plant Church in Antioch - Nigerian Sign Language,"The Believers Plant Church in Antioch - Acts 11:19-30
Nigerian Sign Language - CBT 087, SGH 012",PT2M16S,0:2:16,136.0
118,kcDa7xZcyKc,Topic - The Believers Plant Church in Antioch - Nigerian Sign Language,"The Believers Plant Church in Antioch - Acts 11:19-30
Nigerian Sign Language - CBT 087, SGH 012",PT17S,0:0:17,17.0
119,VAAGZKXfIHg,Dialogue - Jews Accept the Salvation of the Gentiles - Nigerian Sign Language,"Jews Accept the Salvation of the Gentiles - Acts 11:1-18
Nigerian Sign Language - CBT 086, SGH 011",PT12M53S,0:12:53,773.0
120,SVJIEKS7C8s,More Information - Jews Accept the Salvation of the Gentiles - Nigerian Sign Language,"Jews Accept the Salvation of the Gentiles - Acts 11:1-18
Nigerian Sign Language - CBT 086, SGH 011",PT5M5S,0:5:5,305.0
121,epllVfdQ60w,Story - Jews Accept the Salvation of the Gentiles - Nigerian Sign Language,"Jews Accept the Salvation of the Gentiles - Acts 11:1-18
Nigerian Sign Language - CBT 086, SGH 011",PT6M3S,0:6:3,363.0
122,OgpkSkxf4mM,Introduction - Jews Accept the Salvation of the Gentiles - Nigerian Sign Language,"Jews Accept the Salvation of the Gentiles - Acts 11:1-18
Nigerian Sign Language - CBT 086, SGH 011",PT6M11S,0:6:11,371.0
